rpm,voltage,statorCurrent,supplyCurrent,closedLoopError,distance,made,missAmount,pressDuration,shotsInBurst
1000.0,0.0,0.0,0.0,1000.0,2.8052920336817113,false,-1.0,0.0,0
1000.0,0.0,0.0,0.0,1000.0,2.451465803025793,false,-0.3,0.0,0
1000.0,0.0,0.0,0.0,1000.0,2.0854257214287966,false,-0.3,0.0,0
1000.0,0.0,0.0,0.0,1000.0,1.6241905615887031,true,-0.2,0.0,0
1000.0,0.0,0.0,0.0,1000.0,1.2924920425256659,true,0.0,0.0,0
1000.0,0.0,0.0,0.0,1000.0,0.9502226961462616,true,0.2,0.0,0
1000.0,0.0,0.0,0.0,1000.0,0.8006027401772157,true,0.2,0.0,0
1000.0,0.0,0.0,0.0,1000.0,0.4706439583950616,false,0.3,0.0,0
1000.0,0.0,0.0,0.0,1000.0,1.0394280748241462,true,0.0,0.0,0
1000.0,0.0,0.0,0.0,1000.0,7.893065552311925,false,1.0,0.0,0
500.0,0.0,0.0,0.0,500.0,4.543113087067942,false,-1.0,0.0,0
500.0,0.0,0.0,0.0,500.0,3.66719241983806,false,-1.0,0.0,0
500.0,0.0,0.0,0.0,500.0,1.186891681483321,true,-0.2,0.0,0
500.0,0.0,0.0,0.0,500.0,0.963646437358071,true,-0.2,0.0,0
500.0,0.0,0.0,0.0,500.0,0.5879949893502154,true,0.0,0.0,0
500.0,0.0,0.0,0.0,500.0,0.5131032968709544,true,0.2,0.0,0
500.0,0.0,0.0,0.0,500.0,0.31037212616943205,true,0.2,0.0,0
